City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Port Elizabeth,ZA,-33.918,25.5701,74.1,67,0,13.8,clear sky
110,Mago,RU,53.2514,140.1822,52.65,81,100,18.37,light rain
111,Tiznit,MA,29.5833,-9.5,87.03,29,0,11.16,clear sky
112,Iquique,CL,-20.2208,-70.1431,57.24,69,36,4.34,scattered clouds
113,Srednekolymsk,RU,67.45,153.6833,53.01,46,90,7.25,overcast clouds
114,Adre,TD,13.4667,22.2,89.6,42,77,1.1,broken clouds
115,Ekhabi,RU,53.5102,142.9671,54.86,78,100,25.77,overcast clouds
116,Tazovskiy,RU,67.4667,78.7,37.83,68,32,6.71,scattered clouds
117,Punta Arenas,CL,-53.15,-70.9167,35.71,80,40,6.91,scattered clouds
118,Saint-Philippe,RE,-21.3585,55.7679,72.99,71,94,2.21,overcast clouds
119,Nichinan,JP,31.6,131.3667,74.84,69,98,6.46,overcast clouds
120,Melfort,CA,52.8667,-104.6177,48.33,76,13,6.91,few clouds
121,Kapaa,US,22.0752,-159.319,79.12,79,75,19.57,light rain
122,Khiri Mat,TH,16.8333,99.8,83.88,85,100,4.68,overcast clouds
123,Atlautla,MX,19.0167,-98.7833,55.85,86,100,1.86,overcast clouds
124,Sitka,US,57.0531,-135.33,51.69,87,100,4.61,overcast clouds
125,Kukushtan,RU,57.6464,56.4952,51.42,71,92,6.29,overcast clouds
126,Inuvik,CA,68.3499,-133.7218,36.36,97,75,4.61,light intensity drizzle
127,Mangan,IN,27.5167,88.5333,76.57,91,100,1.34,overcast clouds
128,Hambantota,LK,6.1241,81.1185,80.94,83,40,10.36,scattered clouds
129,La Mana,EC,-0.9333,-79.2167,73.71,91,87,2.89,overcast clouds
130,Mulege,MX,26.8833,-111.9833,77.86,87,100,15.88,overcast clouds
131,Parfenyevo,RU,58.484,43.4088,45.63,93,100,3.29,overcast clouds
132,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,56.66,78,100,29.71,light rain
133,Ambanja,MG,-13.6833,48.45,82.33,62,87,5.61,overcast clouds
134,New Norfolk,AU,-42.7826,147.0587,47.7,77,65,0.96,broken clouds
135,Thompson,CA,55.7435,-97.8558,51.96,76,0,6.91,clear sky
136,Coihaique,CL,-45.5752,-72.0662,33.75,86,100,0.0,light snow
137,Rajpura,IN,30.4831,76.595,84.47,62,0,7.23,clear sky
138,Meulaboh,ID,4.1363,96.1285,78.42,76,100,6.76,light rain
139,Bandarbeyla,SO,9.4942,50.8122,79.25,72,0,32.17,clear sky
140,Norman Wells,CA,65.282,-126.8329,28.44,93,75,2.3,broken clouds
141,Port Hawkesbury,CA,45.6169,-61.3485,67.91,73,0,6.91,clear sky
142,Marzuq,YE,14.4,46.4667,80.64,55,70,15.12,light rain
143,Ahipara,NZ,-35.1667,173.1667,48.16,83,17,3.29,few clouds
144,Quimperle,FR,47.8667,-3.55,63.99,88,100,14.97,light rain
145,Cabo San Lucas,MX,22.8909,-109.9124,78.1,88,100,37.27,overcast clouds
146,Ancud,CL,-41.8697,-73.8203,44.22,87,100,14.72,light rain
147,Kinango,KE,-4.1372,39.3153,80.71,52,7,14.85,clear sky
148,Klaksvik,FO,62.2266,-6.589,59.92,90,100,18.7,overcast clouds
149,Clyde River,CA,70.4692,-68.5914,34.03,100,100,17.27,moderate rain
150,Taywarah,AF,33.35,64.4167,64.45,11,0,5.86,clear sky
151,Fort-Shevchenko,KZ,44.5086,50.263,66.34,61,100,11.41,overcast clouds
152,Beringovskiy,RU,63.05,179.3167,39.56,82,98,9.19,overcast clouds
153,Pisco,PE,-13.7,-76.2167,59.05,94,100,5.75,light intensity drizzle
154,Santa Rita Do Passa Quatro,BR,-21.7103,-47.4781,62.6,34,51,9.89,broken clouds
155,Pilot Butte,CA,50.4668,-104.4178,53.22,60,75,16.11,broken clouds
156,Otjimbingwe,NA,-22.35,16.1333,95.97,9,0,5.95,clear sky
157,La Rioja,ES,42.25,-2.5,69.58,24,100,10.8,overcast clouds
158,Nome,US,64.5011,-165.4064,44.67,93,75,3.44,broken clouds
159,Luanda,AO,-8.8368,13.2343,75.2,78,75,4.61,broken clouds
160,Saint-Georges,GD,12.0564,-61.7485,85.68,79,40,23.02,scattered clouds
161,Ortega,CO,3.9361,-75.2217,84.25,48,5,4.32,clear sky
162,Acapulco,MX,16.8634,-99.8901,78.62,83,75,5.75,broken clouds
163,Sobolevo,RU,54.4299,31.8996,52.86,74,100,11.7,light rain
164,Abha,SA,18.2164,42.5053,85.82,39,40,10.36,scattered clouds
165,Cidreira,BR,-30.1811,-50.2056,66.51,75,100,10.65,overcast clouds
166,Ilulissat,GL,69.2167,-51.1,39.22,87,75,4.61,light rain
167,Hirado,JP,33.3597,129.5531,73.38,61,91,19.71,overcast clouds
168,Panacan,PH,9.2463,118.4082,80.29,83,69,2.91,broken clouds
169,Lethem,GY,3.3803,-59.7968,85.48,63,91,9.22,overcast clouds
170,Kralendijk,BQ,12.15,-68.2667,87.78,74,40,12.66,scattered clouds
171,Kruisfontein,ZA,-34.0033,24.7314,71.89,55,1,11.61,clear sky
172,Bukachacha,RU,52.9833,116.9167,45.23,80,39,4.5,scattered clouds
173,Potiskum,NG,11.7091,11.0694,84.2,61,97,3.27,overcast clouds
174,Kontagora,NG,10.3999,5.4695,72.57,94,100,3.85,overcast clouds
175,Cozumel,MX,20.5083,-86.9458,84.99,81,20,0.0,few clouds
176,Antalaha,MG,-14.9003,50.2788,72.75,69,4,11.77,clear sky
177,Marovoay,MG,-16.1,46.6333,88.39,28,23,6.8,few clouds
178,Leningradskiy,RU,69.3833,178.4167,36.72,74,3,5.48,clear sky
179,Matagami,CA,49.7502,-77.6328,59.11,82,0,4.61,clear sky
180,Paamiut,GL,61.994,-49.6678,39.74,81,51,12.06,broken clouds
181,Fairbanks,US,64.8378,-147.7164,47.25,92,75,3.44,broken clouds
182,Kavaratti,IN,10.5669,72.642,79.84,82,100,20.89,overcast clouds
183,Spring Hill,US,28.4769,-82.5255,86.04,80,0,3.44,clear sky
184,Kunda,IN,25.7167,81.5167,88.48,53,34,4.88,scattered clouds
185,Kirakira,SB,-10.4544,161.9205,78.87,86,33,8.63,scattered clouds
186,San Julian,MX,21.0167,-102.1667,58.87,91,94,2.89,overcast clouds
187,Honiara,SB,-9.4333,159.95,77.67,89,6,6.6,clear sky
188,Tenerife,CO,9.9003,-74.859,81.79,83,100,7.65,overcast clouds
189,Anadyr,RU,64.75,177.4833,32.5,86,0,8.95,clear sky
190,Merrill,US,45.1805,-89.6835,65.89,94,0,0.0,clear sky
191,Sechura,PE,-5.5569,-80.8222,66.88,69,47,8.75,scattered clouds
192,Gashua,NG,12.871,11.0482,88.93,49,95,4.23,overcast clouds
193,Bilma,NE,18.6853,12.9164,103.46,14,45,1.7,scattered clouds
194,Ibra,OM,22.6906,58.5334,92.77,34,0,18.43,clear sky
195,Nicoya,CR,10.1483,-85.452,79.86,83,57,2.3,broken clouds
196,Port Macquarie,AU,-31.4333,152.9167,50.9,87,13,4.68,few clouds
197,Gouyave,GD,12.1646,-61.7296,84.97,79,40,23.02,scattered clouds
198,Los Zacatones,MX,22.95,-102.05,61.43,80,97,8.39,overcast clouds
199,Pasighat,IN,28.0667,95.3333,76.23,87,93,3.22,overcast clouds
200,Concepcion De Buenos Aires,MX,19.9667,-103.2667,57.42,93,64,1.79,broken clouds
201,Puerto Narino,CO,-3.7703,-70.3831,84.51,58,18,4.21,few clouds
202,Kondinskoye,RU,59.6481,67.41,46.63,76,100,7.25,overcast clouds
203,Snihurivka,UA,47.0758,32.8052,67.3,24,0,5.75,clear sky
204,Sokoni,TZ,-6.4333,39.55,82.26,76,7,14.63,clear sky
205,Lasa,IT,46.6166,10.7002,72.7,74,100,4.41,overcast clouds
206,Clovis,US,36.8252,-119.7029,89.67,51,40,5.75,scattered clouds
207,Caramay,PH,10.1815,119.236,80.08,82,77,2.15,broken clouds
208,Takoradi,GH,4.8845,-1.7554,80.74,73,41,11.45,light rain
209,Mtwango,TZ,-9.0167,34.8,66.16,45,94,9.33,overcast clouds
210,Harrisburg,US,40.2737,-76.8844,68.94,95,100,5.99,moderate rain
211,Verkhnyaya Inta,RU,65.9811,60.3094,41.2,76,92,4.05,overcast clouds
212,El Tambo,CO,1.4181,-77.3968,58.59,68,40,4.61,scattered clouds
213,Chabahar,IR,25.2919,60.643,80.08,75,0,9.98,clear sky
214,Portland,US,45.5234,-122.6762,64.62,73,0,4.0,clear sky
215,Itoman,JP,26.1247,127.6694,80.62,74,20,12.66,few clouds
216,Lugovoy,KZ,42.9472,72.7644,81.46,21,0,4.85,clear sky
217,Dongning,CN,44.0622,131.1207,54.59,92,0,5.59,clear sky
218,Labuhan,ID,-6.8844,112.2051,80.35,80,47,8.75,scattered clouds
219,Yellowknife,CA,62.456,-114.3525,39.72,87,40,8.05,scattered clouds
220,Ust-Tsilma,RU,65.441,52.1498,44.73,69,91,8.23,overcast clouds
221,Birin,NP,26.8865,88.0718,65.23,92,66,2.55,broken clouds
222,Bad Oldesloe,DE,53.8117,10.3742,76.35,62,100,6.53,overcast clouds
223,Tabou,CI,4.423,-7.3528,80.02,72,77,9.44,broken clouds
224,Yumen,CN,40.2833,97.2,75.76,11,0,5.88,clear sky
225,Qaanaaq,GL,77.484,-69.3632,35.83,79,55,3.53,broken clouds
226,Adrar,MR,20.5022,-10.0711,105.84,10,4,3.15,clear sky
227,Kavieng,PG,-2.5744,150.7967,82.31,74,34,6.98,scattered clouds
228,Rangia,IN,26.4667,91.6333,82.35,79,50,12.46,scattered clouds
229,Aloleng,PH,16.1307,119.7824,82.36,82,9,6.71,clear sky
230,Kastamonu,TR,41.5,33.6667,62.62,55,69,11.3,broken clouds
231,Mumford,GH,5.2618,-0.759,78.51,79,43,13.62,scattered clouds
232,Gasa,PS,31.5,34.4667,87.87,54,0,10.31,clear sky
233,Kobrinskoye,RU,59.4225,30.1239,49.32,63,72,10.02,broken clouds
234,Beinamar,TD,8.6698,15.3813,83.53,72,57,3.09,light rain
235,Sibiti,CG,-3.6819,13.3499,85.28,48,96,4.83,overcast clouds
236,Saint George,US,37.1041,-113.5841,81.19,26,0,0.0,clear sky
237,Manono,CD,-7.3,27.4167,100.35,9,0,1.36,clear sky
238,Sao Joao Do Piaui,BR,-8.3581,-42.2467,88.27,32,79,11.79,broken clouds
239,Los Andes,CL,-32.8337,-70.5983,45.01,71,100,4.79,overcast clouds
240,Ribeira Grande,PT,38.5167,-28.7,77.4,88,40,13.8,scattered clouds
241,Las Choapas,MX,17.9333,-94.0833,77.49,92,100,6.67,overcast clouds
242,Ponta Pora,BR,-22.5361,-55.7256,67.91,77,0,13.8,clear sky
243,Ust-Ishim,RU,57.6935,71.1665,43.43,95,100,10.71,light rain
244,Takestan,IR,36.0696,49.6959,91.53,17,20,14.41,few clouds
245,Mattru,SL,7.6244,-11.8332,73.44,99,100,4.38,heavy intensity rain
246,Catuday,PH,16.2923,119.8062,81.64,81,17,6.64,few clouds
247,Nargana,PA,9.4428,-78.5906,81.27,82,100,2.8,overcast clouds
248,Jos,NG,9.9167,8.9,73.08,79,100,3.6,moderate rain
249,Beloha,MG,-25.1667,45.05,72.64,58,3,15.05,clear sky
250,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,84,0,13.8,clear sky
251,Cambridge,CA,43.3601,-80.3127,66.22,88,0,4.61,clear sky
252,Faya,SA,18.3851,42.4509,86.11,38,82,7.31,broken clouds
253,Kuzhener,RU,56.8111,48.9128,48.83,77,100,9.1,overcast clouds
254,Codrington,AU,-38.2667,141.9667,52.63,88,100,15.28,light rain
255,Teguldet,RU,57.3064,88.1667,62.69,83,100,6.17,overcast clouds
256,Ojinaga,MX,29.5667,-104.4167,70.75,64,0,3.44,clear sky
257,Barrow,US,71.2906,-156.7887,33.82,100,0,10.36,clear sky
258,Kovur,IN,14.4833,79.9833,84.36,69,100,8.14,overcast clouds
259,Uruzgan,AF,32.8333,66.0,81.86,13,0,4.83,clear sky
260,Lebu,CL,-37.6167,-73.65,47.98,71,100,10.49,overcast clouds
261,Road Town,VG,18.4167,-64.6167,84.29,79,40,4.61,scattered clouds
262,Luderitz,NA,-26.6481,15.1594,69.82,51,0,9.62,clear sky
263,Korla,CN,41.7597,86.1469,83.3,15,0,0.63,clear sky
264,Constantine,DZ,36.365,6.6147,98.01,19,40,12.66,scattered clouds
265,Whitianga,NZ,-36.8333,175.7,47.77,79,22,2.77,few clouds
266,Urucurituba,BR,-2.6833,-57.6667,93.87,40,11,5.23,few clouds
267,Fayaoue,NC,-20.65,166.5333,72.14,84,100,19.04,overcast clouds
268,Coquimbo,CL,-29.9533,-71.3436,53.33,87,75,4.61,broken clouds
269,Bunia,CD,1.5667,30.25,74.08,69,85,2.62,light rain
270,Newark,US,40.7357,-74.1724,68.99,92,100,11.5,mist
