City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Anloga,GH,79.92,scattered clouds,5.7947,0.8973,Pin Drop Hotel
357,Bethel,US,66.56,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
359,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Pousada Camboinha
360,Walvis Bay,,76.15,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
361,Khorixas,,96.17,clear sky,-20.3667,14.9667,Khorixas Lodge
362,Sao Gabriel Da Cachoeira,BR,85.41,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
364,Omaruru,,92.88,clear sky,-21.4333,15.9333,"Kashana, Omaruru, Namibia"
366,Alghero,IT,86.09,clear sky,40.5589,8.3181,Smy Carlos V Alghero
367,Abu Kamal,SY,97.72,clear sky,34.4506,40.9171,البوكمال
368,Guerrero Negro,MX,79.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
370,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
372,Mabaruma,GY,88.7,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
375,Bataipora,BR,79.38,broken clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
376,Tshikapa,CD,91.69,overcast clouds,-6.4167,20.8,Tatem beach
377,Tomigusuku,JP,80.37,few clouds,26.185,127.675,Hotel Gran View Okinawa
379,Xam Nua,LA,67.08,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
380,San Rafael,AR,66.79,broken clouds,-34.6177,-68.3301,Hotel San Rafael
381,Sturgis,US,66.45,scattered clouds,41.7992,-85.4192,Best Western Plus Howe Inn
382,Ahmadpur East,PK,95.02,clear sky,29.1431,71.2598,Irfan fabrics
385,Krasnoye,UA,69.73,clear sky,49.9145,24.6134,Feniks
387,Katsuura,JP,79.72,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
388,Santa Lucia,ES,74.52,few clouds,27.9117,-15.5407,Las Tirajanas
392,Vaitape,PF,78.22,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
396,Sabha,LY,95.09,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
397,Umreth,IN,94.77,overcast clouds,22.7,73.1167,Adarsh Resort
398,Horovice,CZ,84.15,broken clouds,49.836,13.9027,Hotel U Parku
399,Aksu,CN,82.92,clear sky,41.1231,80.2644,Pudong Holiday Hotel
401,Bacolod,PH,79.34,overcast clouds,10.6667,122.95,Planta Hotel & Residences
405,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
406,Oriximina,BR,92.14,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
407,Arawa,PG,76.41,few clouds,-6.2132,155.5367,Coastline Guest House
408,Margate,GB,69.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
409,Roxana,CR,85.03,broken clouds,10.2753,-83.7513,3BYES1
410,Enshi,CN,73.58,overcast clouds,30.3,109.4833,Moevenpick Enshi
413,Nanyamba,TZ,79.97,overcast clouds,-10.6833,39.8333,Busati Lodge Nanyamba
415,Erzin,TR,87.57,clear sky,36.9559,36.2,Artemis Otel
416,Nkhata Bay,MW,77.68,scattered clouds,-11.6066,34.2907,Mayoka Village
419,Juan De Acosta,CO,80.19,broken clouds,10.8281,-75.0334,Cabañas Magdalena del Mar
420,Kapoeta,SS,83.73,broken clouds,4.7717,33.5903,Eastgate Hotel
422,Janesville,US,65.08,mist,42.6828,-89.0187,"Holiday Inn Express Janesville-I-90 & US Hwy 14, an IHG Hotel"
423,Artyom,AZ,71.74,broken clouds,40.4723,50.333,Yusif 10 A
